set Prod := Prod1 Prod2 Prod3 Prod4 Prod5;           
set scenario := m1 m2 m3 m4 m5  ;
param T=5;
param mean:=1 100  2 100   3 100   4 100   5 100;
param sigma:=1 30  2 30 3 30  4 30  5 30 ;

param ProdCost: 
      1    2   3  4    5 :=  
Prod1 1.8      1.8      1.8      1.8      1.8
Prod2 1.6      1.6      1.6      1.6      1.6
Prod3 1.4      1.4      1.4      1.4      1.4
Prod4 1.2      1.2      1.2      1.2      1.2
Prod5 1        1        1        1        1    ;		

param ShortageCost :
      1      2    3      4      5 := 
Prod1 5.37     5.37     5.37     5.37     5.37 
Prod2 4.7733   4.7733   4.7733   4.7733   4.7733 
Prod3 4.1766   4.1766   4.1766   4.1766   4.1766
Prod4 3.58     3.58     3.58     3.58     3.58 
Prod5 2.983    2.983    2.983    2.983    2.983 ;

param OverageCost :
      1      2    3      4      5 := 
Prod1 0.36    0.36    0.36    0.36    -1.17    
Prod2 0.32    0.32    0.32    0.32    -1.04    
Prod3 0.28    0.28    0.28    0.28    -0.91  
Prod4 0.24    0.24    0.24    0.24    -0.78       
Prod5 0.2     0.2     0.2     0.2     -0.65    ;
